ID - код товара учетной системы поставщика	Название компании	Артикул производителя запчасти	Производитель запчасти	Наименование запчасти	Описание запчасти в свободной форме	Вес, кг	Склад	Валюта	Ставка НДС	Город наличия товаров	"Список номеров аналогов, на которые еще подходит данная запчасть (для поиска) перечислены через "";"""	"Список брендов техники, на которые подходит запчасть (для поиска) перечислены через "";"""
00-00021985	ООО "Компания ИмПарт"	195-30-00106	KTSU	195-30-00106-KTSU КАТОК ПОДДЕРЖИВАЮЩИЙ	195-30-00106-KTSU КАТОК ПОДДЕРЖИВАЮЩИЙ	72,5	62;16790,00	RUR	НДС 20%	Екатеринбург	195-30-00106; UH125K0B; C4035100M00; 195-30-00102; KM578; 195-30-00105; 195-30-00104; VKM578V; 195-30-00103; 195-30-00101; 2-0986-TP	KOMATSU
00-00000433	ООО "Компания ИмПарт"	195-30-00283	JEMCO	195-30-00283-JMCO КОЛЕСО НАПРАВЛЯЮЩЕЕ	195-30-00283-JMCO КОЛЕСО НАПРАВЛЯЮЩЕЕ	615	4;167542,00	RUR	НДС 20%	Екатеринбург	195-30-00283; 195-30-00055; 195-30-00056; 195-30-00057; 195-30-00058; 195-30-00059; 195-30-00280; 195-30-00281; 195-30-00282; 195-30-00470; KM837; P4035400M00; UX127K1E	KOMATSU; SHANTUI
00-00022427	ООО "Компания ИмПарт"	195-30-00302	ITR	195-30-00302 Втулка	Втулка	0,67	1;960,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00021973	ООО "Компания ИмПарт"	195-30-00335	KTSU	195-30-00335-KTSU КАТОК ОПОРНЫЙ ОДНОБОРТНЫЙ	195-30-00335-KTSU КАТОК ОПОРНЫЙ ОДНОБОРТНЫЙ	153	3;36721,00	RUR	НДС 20%	Екатеринбург	195-30-00335; 195-30-00117; KM343B; 195-30-00331; 2-2303-TP; 195-30-00118; VKM926V; 195-30-00330; A4035000M00; 195-30-00114; 195-30-00336; 195-30-00333; KM926; 195-30-00334; 195-30-00332; 196-30-00065; 195-30-00116; 195-30-00115; 195-30-00443	KOMATSU
00-00022658	ООО "Компания ИмПарт"	195-30-01021	AM	195-30-01021-AM КАТОК ОПОРНЫЙ ДВУБОРТНЫЙ	195-30-01021-AM КАТОК ОПОРНЫЙ ДВУБОРТНЫЙ	161	4;22398,00	RUR	НДС 20%	Екатеринбург	195-30-01020; 195-30-01421; 195-30-01422; 195-30-01423	KOMATSU
00-00022425	ООО "Компания ИмПарт"	195-30-13263-ETP	ETP	195-30-13263-ETP Втулка	Втулка	2	8;2208,00	RUR	НДС 20%	Екатеринбург		
00-00022419	ООО "Компания ИмПарт"	195-30-14113-OFM	OFM	195-30-14113-OFM Вилка переднего направляющего колеса	Вилка переднего направляющего колеса	69,2	1;82383,00	RUR	НДС 20%	Екатеринбург		
00-00019276	ООО "Компания ИмПарт"	195-30-31231	KOMATSU	195-30-31231 УПЛОТНЕНИЕ РЕЗИНА/МЕТАЛЛ	195-30-31231 УПЛОТНЕНИЕ РЕЗИНА/МЕТАЛЛ	0,48	4;24801,00	RUR	НДС 20%	Екатеринбург		
00-00019278	ООО "Компания ИмПарт"	195-30-31250	KOMATSU	195-30-31250 УПЛОТНЕНИЕ РЕЗИНОВОЕ	195-30-31250 УПЛОТНЕНИЕ РЕЗИНОВОЕ	0,46	6;8767,00	RUR	НДС 20%	Екатеринбург		
00-00019590	ООО "Компания ИмПарт"	195-30-34220	KOMATSU	195-30-34220 НАПРАВЛЯЮЩАЯ	195-30-34220 НАПРАВЛЯЮЩАЯ	37,4	1;89257,00	RUR	НДС 20%	Екатеринбург		
00-00181361	ООО "Компания ИмПарт"	195-30-34331	ITR	195-30-34331 поршень	195-30-34331 поршень	14,02	6;8818,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00174035	ООО "Компания ИмПарт"	195-30-34360	KOMATSU	195-30-34360 КРЫШКА	КРЫШКА	3,25	2;18714,00	RUR	НДС 20%	Екатеринбург		
00-00019595	ООО "Компания ИмПарт"	195-30-51450	KOMATSU	195-30-51450 ПРОВОДНИК	195-30-51450 ПРОВОДНИК	25,3	4;80784,00	RUR	НДС 20%	Екатеринбург		
00-00019848	ООО "Компания ИмПарт"	195-30-51470	KOMATSU	195-30-51470 НАПРАВЛЯЮЩАЯ СТАЛЬ	195-30-51470 НАПРАВЛЯЮЩАЯ СТАЛЬ	4,85	8;26071,00	RUR	НДС 20%	Екатеринбург		
00-00020044	ООО "Компания ИмПарт"	195-30-62141	KOMATSU	195-30-62141 КРЫШКА ОПОРЫ ОСИ	195-30-62141 КРЫШКА ОПОРЫ ОСИ	4,7	30;11715,00	RUR	НДС 20%	Екатеринбург		
00-00011239	ООО "Компания ИмПарт"	195-30-64241	KOMATSU	195-30-64241 БОЛТ	195-30-64241 БОЛТ	32,6	4;92228,00	RUR	НДС 20%	Екатеринбург		
00-00019599	ООО "Компания ИмПарт"	195-30-64251	KOMATSU	195-30-64251 РАСПОРНАЯ ВТУЛКА	195-30-64251 РАСПОРНАЯ ВТУЛКА	35,2	2;81804,00	RUR	НДС 20%	Екатеринбург		
00-00003275	ООО "Компания ИмПарт"	195-30-66520	ITR	195-30-66520-US ТЕЛЕЖКА,	195-30-66520-US ТЕЛЕЖКА,	24,8	2;27751,00	RUR	НДС 20%	Екатеринбург	195-30-66520	KOMATSU
00-00181374	ООО "Компания ИмПарт"	195-30-66531	ITR	195-30-66531 Подушка	195-30-66531 Подушка	7,47	158;8971,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00012404	ООО "Компания ИмПарт"	195-30-71720	KOMATSU	195-30-71720 УПЛОТНЕНИЕ РЕЗИНА/МЕТАЛЛ	195-30-71720 УПЛОТНЕНИЕ РЕЗИНА/МЕТАЛЛ	0,6	4;36472,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00003251	ООО "Компания ИмПарт"	195-32-04552	KBJ	195-32-04552-KBJ ГУСЕНИЦА В СБОРЕ 40ЗВ 710 ММ СМАЗЫВАЕМАЯ 	195-32-04552-KBJ ГУСЕНИЦА В СБОРЕ 40ЗВ 710 ММ СМАЗЫВАЕМАЯ 	4358	2;750000,00	RUR	НДС 20%	Екатеринбург	195-32-04552; UA280K1D40710; 195-32-04553	KOMATSU
00-00002036	ООО "Компания ИмПарт"	195-32-11210	ITR	195-32-11210-US БОЛТ БАШМАЧНЫЙ	195-32-11210-US БОЛТ БАШМАЧНЫЙ	0,58	24;126,00	RUR	НДС 20%	Екатеринбург	KM263; D4035000N15; 195-32-11210-HX;	
00-00022501	ООО "Компания ИмПарт"	195-32-22190-OFM	OFM	195-32-22190-OFM Палец	Палец 	6,01	8;3035,00	RUR	НДС 20%	Екатеринбург		
00-00022652	ООО "Компания ИмПарт"	195-32-61210	AM	195-32-61210-AM БОЛТ БАШМАЧНЫЙ	195-32-61210-AM БОЛТ БАШМАЧНЫЙ	0,84	2;627,00	RUR	НДС 20%	Екатеринбург	195-32-61210; 195-32-05400; M30X2X96	KOMATSU
00-00022655	ООО "Компания ИмПарт"	195-32-61220	AM	195-32-61220 Гайка башмачная	Гайка башмачная 	0,35	2;250,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00018297	ООО "Компания ИмПарт"	195-40-00901	KOMATSU	195-40-00901 КЛАПАН РЕГУЛИРУЮЩИЙ МАСЛОГИДРАВЛИЧЕСКОЙ ТРАНСМИССИИ	195-40-00901 КЛАПАН РЕГУЛИРУЮЩИЙ МАСЛОГИДРАВЛИЧЕСКОЙ ТРАНСМИССИИ	24,5	1;788640,00	RUR	НДС 20%	Екатеринбург		
00-00022582	ООО "Компания ИмПарт"	195-40-11650	ITR	195-40-11650 сальник	сальник	0,01	12;217,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00015820	ООО "Компания ИмПарт"	195-43-45970	KOMATSU	195-43-45970 ШТОК В СБОРЕ	195-43-45970 ШТОК В СБОРЕ	0,86	1;15991,00	RUR	НДС 20%	Екатеринбург		
00-00010387	ООО "Компания ИмПарт"	195-43-49130	KOMATSU	195-43-49130 КОМПЛЕКТ КАБЕЛЕЙ	195-43-49130 КОМПЛЕКТ КАБЕЛЕЙ	0,58	1;20395,00	RUR	НДС 20%	Екатеринбург		
00-00019365	ООО "Компания ИмПарт"	195-50-22190	KOMATSU	195-50-22190 ПОДШИПНИК СКОЛЬЖЕНИЯ	195-50-22190 ПОДШИПНИК СКОЛЬЖЕНИЯ	3,35	3;56492,00	RUR	НДС 20%	Екатеринбург		
00-00002090	ООО "Компания ИмПарт"	195-50-22190	ITR	195-50-22190-US ВТУЛКА	195-50-22190-US ВТУЛКА	3,85	1;13750,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00019266	ООО "Компания ИмПарт"	195-50-22210	KOMATSU	195-50-22210 ПОДШИПНИК СКОЛЬЖЕНИЯ	195-50-22210 ПОДШИПНИК СКОЛЬЖЕНИЯ	2,35	3;43450,00	RUR	НДС 20%	Екатеринбург		
00-00002091	ООО "Компания ИмПарт"	195-50-22210	ITR	195-50-22210-US ВТУЛКА	195-50-22210-US ВТУЛКА	2,75	1;13750,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00019286	ООО "Компания ИмПарт"	195-50-22231	KOMATSU	195-50-22231 ПРОКЛАДКА	195-50-22231 ПРОКЛАДКА	3,6	10;104149,00	RUR	НДС 20%	Екатеринбург		
00-00019981	ООО "Компания ИмПарт"	195-50-41120	KOMATSU	195-50-41120 КРЕПЕЖНАЯ ОСЬ	195-50-41120 КРЕПЕЖНАЯ ОСЬ	41	3;139726,00	RUR	НДС 20%	Екатеринбург		
00-00019363	ООО "Компания ИмПарт"	195-50-41132	KOMATSU	195-50-41132 ВТУЛКА	195-50-41132 ВТУЛКА	4	2;65170,00	RUR	НДС 20%	Екатеринбург		
00-00019287	ООО "Компания ИмПарт"	195-50-41161	KOMATSU	195-50-41161 ПОДШИПНИК СКОЛЬЖЕНИЯ ТРАНСМИССИИ	195-50-41161 ПОДШИПНИК СКОЛЬЖЕНИЯ ТРАНСМИССИИ	7,65	10;94327,00	RUR	НДС 20%	Екатеринбург		
00-00022583	ООО "Компания ИмПарт"	195-61-41151-ETP	ETP	195-61-41151-ETP Сальник	Сальник	0,01	7;1097,00	RUR	НДС 20%	Екатеринбург		
00-00014035	ООО "Компания ИмПарт"	195-61-42430	KOMATSU	195-61-42430 ШЛАНГ	195-61-42430 ШЛАНГ	5,95	5;10084,00	RUR	НДС 20%	Екатеринбург		
00-00014049	ООО "Компания ИмПарт"	195-61-49360	KOMATSU	195-61-49360 ШЛАНГ	195-61-49360 ШЛАНГ	3,6	6;15441,00	RUR	НДС 20%	Екатеринбург		
00-00021805	ООО "Компания ИмПарт"	195-63-13142	KOMATSU	195-63-13142 Туба цилиндра подьёма отвала	Туба цилиндра подьёма отвала	119,5	1;586980,00	RUR	НДС 20%	Екатеринбург		
00-00022222	ООО "Компания ИмПарт"	195-71-11173	ROCK	195-71-11173-CB НОЖ БОКОВОЙ ЛЕВЫЙ	195-71-11173-CB НОЖ БОКОВОЙ ЛЕВЫЙ	62,7	4;10960,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00022196	ООО "Компания ИмПарт"	195-71-11654	ROCK	195-71-11654-CB НОЖ	195-71-11654-CB НОЖ	90,5	1;10039,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00012771	ООО "Компания ИмПарт"	195-71-51191	KOMATSU	195-71-51191 КОРОМЫСЛО МЕХАН. ТЯГИ	195-71-51191 КОРОМЫСЛО МЕХАН. ТЯГИ	72	4;230923,00	RUR	НДС 20%	Екатеринбург		
00-00174036	ООО "Компания ИмПарт"	195-71-52140	KOMATSU	195-71-52140 ФЛАНЕЦ	ФЛАНЕЦ	1	8;13686,00	RUR	НДС 20%	Екатеринбург		
00-00022138	ООО "Компания ИмПарт"	195-71-61930	ROCK	195-71-61930-CB НОЖ БОКОВОЙ ЛЕВЫЙ	195-71-61930-CB НОЖ БОКОВОЙ ЛЕВЫЙ	129,45	4;15699,00	RUR	НДС 20%	Екатеринбург	195-71-71810	KOMATSU
00-00014039	ООО "Компания ИмПарт"	195-71-62260	KOMATSU	195-71-62260 ШЛАНГ	195-71-62260 ШЛАНГ	5,92	4;22407,00	RUR	НДС 20%	Екатеринбург		
00-00015577	ООО "Компания ИмПарт"	195-71-62710	KOMATSU	195-71-62710 ШЛАНГ	195-71-62710 ШЛАНГ	5,55	2;12098,00	RUR	НДС 20%	Екатеринбург		
00-00015578	ООО "Компания ИмПарт"	195-71-62720	KOMATSU	195-71-62720 ШЛАНГ	195-71-62720 ШЛАНГ	3,65	2;17106,00	RUR	НДС 20%	Екатеринбург		
00-00022096	ООО "Компания ИмПарт"	195-78-21331	ROCK	195-78-21331-CB КОРОНКА РЫХЛИТЕЛЯ	195-78-21331-CB КОРОНКА РЫХЛИТЕЛЯ	16,2	272;3800,00	RUR	НДС 20%	Екатеринбург	195-78-21333; 195-78-29140	KOMATSU
00-00012931	ООО "Компания ИмПарт"	195-78-71190	KOMATSU	195-78-71190 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ	195-78-71190 ПАЛЕЦ ФИКСИРУЮЩИЙ СТАЛЬ	36,2	2;76731,00	RUR	НДС 20%	Екатеринбург		
00-00012934	ООО "Компания ИмПарт"	195-78-71210	KOMATSU	195-78-71210 ПАЛЕЦ	195-78-71210 ПАЛЕЦ	37	4;90075,00	RUR	НДС 20%	Екатеринбург		
00-00022097	ООО "Компания ИмПарт"	195-78-71320	ROCK	195-78-71320-CB КОРОНКА РЫХЛИТЕЛЯ	195-78-71320-CB КОРОНКА РЫХЛИТЕЛЯ	28,25	16;4980,00	RUR	НДС 20%	Екатеринбург	195-78-71230	KOMATSU
00-00022668	ООО "Компания ИмПарт"	195-78-71360	LF	195-78-71360-LF ПАЛЕЦ ПРОТЕКТОРА	195-78-71360-LF ПАЛЕЦ ПРОТЕКТОРА	0,63	121;225,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00012935	ООО "Компания ИмПарт"	195-79-52140	KOMATSU	195-79-52140 ПАЛЕЦ	195-79-52140 ПАЛЕЦ	9,5	2;18610,00	RUR	НДС 20%	Екатеринбург		
00-00022646	ООО "Компания ИмПарт"	196-04-11130-ETP	ETP	196-04-11130-ETP Шланг топливный	Шланг топливный	2,25	2;10157,00	RUR	НДС 20%	Екатеринбург		
00-00022418	ООО "Компания ИмПарт"	196-70-12170-ETP	ETP	196-70-12170-ETP Вал	Вал	25	2;18668,00	RUR	НДС 20%	Екатеринбург		
00-00177182	ООО "Компания ИмПарт"	1964672	ITR	1964672-US ГАЙКА СЕГМЕНТНАЯ	1964672-US ГАЙКА СЕГМЕНТНАЯ	0,04	50;38,00	RUR	НДС 20%	Екатеринбург	196-4672; 5I6125; 5I-6125;  4384521; AT180443; 203-32-51220; 203-32-52220; JNA0086	KOMATSU
00-00022306	ООО "Компания ИмПарт"	1965069	CAT	1965069 Винт 1629174	Винт 1629174	0,06	2;3223,00	RUR	НДС 20%	Екатеринбург		
00-00019653	ООО "Компания ИмПарт"	198-30-14233	KOMATSU	198-30-14233 ГАЙКА	198-30-14233 ГАЙКА	1,25	2;19284,00	RUR	НДС 20%	Екатеринбург		
00-00019654	ООО "Компания ИмПарт"	198-30-14242	KOMATSU	198-30-14242 НАКЛАДКА	198-30-14242 НАКЛАДКА	0,7	4;9851,00	RUR	НДС 20%	Екатеринбург		
00-00196948	ООО "Компания ИмПарт"	198-30-56132	OFM	198-30-56132 Подушка	198-30-56132 Подушка	3,9	20;4802,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00002092	ООО "Компания ИмПарт"	198-30-56132	ITR	198-30-56132-US ПОДУШКА	198-30-56132-US ПОДУШКА	3,58	1;3397,00	RUR	НДС 20%	Екатеринбург		KOMATSU
00-00008608	ООО "Компания ИмПарт"	198-Z11-2540	KOMATSU	198-Z11-2540 ЭЛЕКТРОМОТОР СТЕКЛООЧИСТИТЕЛЯ	198-Z11-2540 ЭЛЕКТРОМОТОР СТЕКЛООЧИСТИТЕЛЯ	2	2;32884,00	RUR	НДС 20%	Екатеринбург		
00-00008997	ООО "Компания ИмПарт"	198-Z11-5620	KOMATSU	198-Z11-5620 ЭЛЕКТРОМОТОР СТЕКЛООЧИСТИТЕЛЯ	198-Z11-5620 ЭЛЕКТРОМОТОР СТЕКЛООЧИСТИТЕЛЯ	2,2	2;77632,00	RUR	НДС 20%	Екатеринбург		
00-00010124	ООО "Компания ИмПарт"	19M-43-15350	KOMATSU	19M-43-15350 КАБЕЛЬ	19M-43-15350 КАБЕЛЬ	0,82	1;14521,00	RUR	НДС 20%	Екатеринбург		
00-00022272	ООО "Компания ИмПарт"	1P0436	ITR	1P0436 Прокладка	Прокладка 	0,01	1;20,00	RUR	НДС 20%	Екатеринбург		
00-00002207	ООО "Компания ИмПарт"	1S-1860	JEMCO	1S-1860-JC ГАЙКА БАШМАЧНАЯ 3/4"	1S-1860-JC ГАЙКА БАШМАЧНАЯ 3/4"	0,09	46;17,00	RUR	НДС 20%	Екатеринбург	1S-1860-US; 1S1860; 1S-1860-HX;	CAT
00-00002039	ООО "Компания ИмПарт"	1S1859	ITR	1S1859-US БОЛТ БАШМАЧНЫЙ	1S1859-US БОЛТ БАШМАЧНЫЙ	0,2	614;165,00	RUR	НДС 20%	Екатеринбург	240074; 2004014; CR1105; CR1105A; ID427; R29245; 1S1859; 2M8758; 3Y1129; 81E-0023; D01070A0N15; T51523; 207-32-E1134E; 4091000; 4097514; 7001689; 7003775; 786500614; 14044063;	KOMATSU
00-00022111	ООО "Компания ИмПарт"	1U3202	ROCK	1U3202-CB КОРОНКА	1U3202-CB КОРОНКА	1,4	14;208,00	RUR	НДС 20%	Екатеринбург	1U3202RC; J200	
00-00022225	ООО "Компания ИмПарт"	1U3252	ROCK	1U3252-CB КОРОНКА	1U3252-CB КОРОНКА	3,3	3;473,00	RUR	НДС 20%	Екатеринбург	9N4252; 9J4259; 1U3252RC; J250	KOMATSU
00-00235245	ООО "Компания ИмПарт"	1U3302	HPAD	1U3302 КОРОНКА	1U3302 КОРОНКА	4,5	1;877,00	RUR	НДС 20%	Екатеринбург	9N4302; 1U3302RC; J300	KOMATSU
00-00002497	ООО "Компания ИмПарт"	1U3352	ROCK	1U3352-CB КОРОНКА	1U3352-CB КОРОНКА	6,2	142;1257,00	RUR	НДС 20%	Екатеринбург	1U3352; 1U3352PT; 1U3352RC; 1U3352RE-R; 4T2353PT; 980; 84766; 98084766; 9N4352; 61L6-00800; 135-9352; J350	KOMATSU; CAT
00-00235242	ООО "Компания ИмПарт"	1U3352RC	HPAD	1U3352RC КОРОНКА СКАЛЬНАЯ	1U3352RC КОРОНКА СКАЛЬНАЯ	7	92;1385,00	RUR	НДС 20%	Екатеринбург	1U3352PT; 1U3352RC; 1U3352RE-R; 4T2353PT; 980/84766; 98084766; 9N4352; 135-9352; J350	CAT; KOMATSU
00-00002498	ООО "Компания ИмПарт"	1U3352RC	ROCK	1U3352RC-CB КОРОНКА СКАЛЬНАЯ	1U3352RC-CB КОРОНКА СКАЛЬНАЯ	7	13;1386,00	RUR	НДС 20%	Екатеринбург	1U3352PT; 1U3352RC; 1U3352RE-R; 4T2353PT; 980/84766; 98084766; 9N4352; 135-9352; J350	CAT; KOMATSU
00-00177342	ООО "Компания ИмПарт"	1U3352RC-SD	SD	1U3352RC-SD КОРОНКА СКАЛЬНАЯ	1U3352RC-SD КОРОНКА СКАЛЬНАЯ	6,58	2;1386,00	RUR	НДС 20%	Екатеринбург	1U3352PT; 1U3352RC; 1U3352RE-R; 4T2353PT; 980/84766; 98084766; 9N4352; 135-9352; J350	KOMATSU; CAT
00-00022227	ООО "Компания ИмПарт"	1U3452	ROCK	1U3452-CB КОРОНКА	1U3452-CB КОРОНКА	11,9	1;2453,00	RUR	НДС 20%	Екатеринбург	159-0459; 9N4452; 9N4453; 9W1453PT; 9W8451; 9W8452; 9W8452RE-R; 9W8452SYL; 9W8452SYL-R; J450	
00-00235192	ООО "Компания ИмПарт"	1U3452RC	IP	1U3452RC 9W8452RC КОРОНКА СКАЛЬНАЯ	9W8452RC КОРОНКА СКАЛЬНАЯ	13	288;2628,00	RUR	НДС 20%	Екатеринбург	1U3452; 9N4452; 9N4453; 9W1453PT; 9W8451; 9W8452; 9W8452RC; 9W8452RE-R; 9W8452SYL; 9W8452SYL-R; 1U3452RC; J450	KOMATSU
00-00001093	ООО "Компания ИмПарт"	2-2409-TP	TAIHEIYO SEIKI	2-2409-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9149839	2-2409-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9149839	21,3	5;5074,00	RUR	НДС 20%	Екатеринбург	UH098H0A; 9149839; 2-2409-TP; C7630000M00; FT3724; 9096966; 9257022; 9191054; AT250248; AT314420; HT365; 3002250; 4S00520; 4S01006; 71466877; 87665127; SI810; VC763000; 87665127; 9191054 	HITACHI
00-00036111	ООО "Компания ИмПарт"	2-2412-TP	TAIHEIYO SEIKI	2-2412-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9137580	2-2412-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9137580	38,5	24;5267,00	RUR	НДС 20%	Екатеринбург	4349516; UH103H1A; 9099140; C76400A0M00; 9137580; C7640000M00; HT544; 2-2412-TP	HITACHI
00-00036112	ООО "Компания ИмПарт"	2-2602-TP	TAIHEIYO SEIKI	2-2602-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9234984	2-2602-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9234984	22	1;4540,00	RUR	НДС 20%	Екатеринбург	9234984; HT642; C76200B0M00; 9270478; UH084H1A; 9302198; 9235892; V9234984V; 9300913; AT450662; 9234984R; 4S00676; HIT.9234984; HIT.9300913; HIT.9302198; HIT9234984; HIT9300913; HIT9302198; JHD.AT450662; 2-2602-TP	HITACHI
00-00036113	ООО "Компания ИмПарт"	2-3112-TP	TAIHEIYO SEIKI	2-3112-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9245117	2-3112-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9245117	34,5	3;6533,00	RUR	НДС 20%	Екатеринбург	DH900853; 9305980; 9245169; 9245117; 9242987; 4S00677; 9245117R; HT696; C7633000M00; V9245117V; UH098H2A; 2-3112-TP	HITACHI
00-00001097	ООО "Компания ИмПарт"	2-3231-TP	TAIHEIYO SEIKI	2-3231-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9250478	2-3231-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9250478	39,3	12;8047,00	RUR	НДС 20%	Екатеринбург	9250478; 4656891	HITACHI
00-00039966	ООО "Компания ИмПарт"	2-3340-TP	TAIHEIYO SEIKI	2-3340-TP КАТОК ПОДДЕРЖИВАЮЩИЙ	2-3340-TP КАТОК ПОДДЕРЖИВАЮЩИЙ	11,1	14;2778,00	RUR	НДС 20%	Екатеринбург	9092400; 9160680; 9184197; 2-3340-TP; 9061288; 9105752	
00-00003170	ООО "Компания ИмПарт"	2-3792-TP	TAIHEIYO SEIKI	2-3792-TP КАТОК ОПОРНЫЙ  117-5045	2-3792-TP КАТОК ОПОРНЫЙ 117-5045	35	20;8001,00	RUR	НДС 20%	Екатеринбург	117-5045; 163-4143; 1R8669; 1R-8669; 209-3386; 286-9823; 348-1867; 8E5034; 8E-5034; 964289; 965893; 991109; 993597; A7820000M00; D34310103; CR5109; CR5572; 2-3792-TP	CAT
00-00001101	ООО "Компания ИмПарт"	2-3796-TP	TAIHEIYO SEIKI	2-3796-TP КАТОК ОПОРНЫЙ 163-4145	2-3796-TP КАТОК ОПОРНЫЙ 163-4145	34,8	6;6920,00	RUR	НДС 20%	Екатеринбург	1634145; 163-4145; CR5726; 6I9396	
00-00039969	ООО "Компания ИмПарт"	2-3843-TP	TAIHEIYO SEIKI	2-3843-TP КАТОК ОПОРНЫЙ	2-3843-TP КАТОК ОПОРНЫЙ	52,5	18;8000,00	RUR	НДС 20%	Екатеринбург	SA1181-00781	
00-00039971	ООО "Компания ИмПарт"	2-4037-TP	TAIHEIYO SEIKI	2-4037-TP КАТОК ПОДДЕРЖИВАЮЩИЙ SA1181-00020	2-4037-TP КАТОК ПОДДЕРЖИВАЮЩИЙ SA1181-00020	21	20;4468,00	RUR	НДС 20%	Екатеринбург	SA1181-00020	
00-00001106	ООО "Компания ИмПарт"	2-4055-TP	TAIHEIYO SEIKI	2-4055-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9134245	2-4055-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 9134245	29	4;4949,00	RUR	НДС 20%	Екатеринбург	UH084H0A; 1758704; 14302211; 5618456; 5610810; 4663383; 10800832; 10651677; 76615883; 72230318; 9231273; 9178333; 9134245; 9089636; 4S00517; 71401347; 2243922; AT152079; AP39243; AP34667; LH1461; ID861; HT208; FT3615; FT3515; C15690E0M00; C1516000M00; VC1569E0; VC151600; 3000534; 2-4055-TP	HITACHI
00-00001108	ООО "Компания ИмПарт"	2-4070-TP	TAIHEIYO SEIKI	2-4070-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 208-30-00340	2-4070-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 208-30-00340	38,1	3;7341,00	RUR	НДС 20%	Екатеринбург	208-30-00340; 81E5-2003; 207-30-00032; 81E9-17030; 81E5-20031; 81E5-20031BG; 208-30-00340; UH096K2B; 207-30-15102; 207-30-00031; 81E5-2301; 207-30-K1800; 208-30-00320; 207-30-K1200; 207-30-00140; 207-30-00033; C40301B0M00; 208-30-68310; 81E5-2003S; 81E5-2003BG; 81E5-20031GG; 81E5-2003; 81E9-17030; 81E5-20031GG; KM1817; VC4030B0	HYUNDAI; KOMATSU
00-00039972	ООО "Компания ИмПарт"	2-4080-TP	TAIHEIYO SEIKI	2-4080-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 2270-6126A	2-4080-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 2270-6126A	32,5	12;5405,00	RUR	НДС 20%	Екатеринбург	2270-6126A; 2270-6126; 2270-1030A; 2270-1030	
00-00177184	ООО "Компания ИмПарт"	2-4088-TP	TAIHEIYO SEIKI	2-4088-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 208-30-00431	2-4088-TP КАТОК ПОДДЕРЖИВАЮЩИЙ 208-30-00431	30,3	2;7370,00	RUR	НДС 20%	Екатеринбург	208-30-00431	KOMATSU
00-00039973	ООО "Компания ИмПарт"	2-4192-TP	TAIHEIYO SEIKI	2-4192-TP КАТОК ОПОРНЫЙ 81QB-11010	2-4192-TP КАТОК ОПОРНЫЙ 81QB-11010	80,5	69;18618,00	RUR	НДС 20%	Екатеринбург	81QB-11010	
00-00039979	ООО "Компания ИмПарт"	2-4419-TP	TAIHEIYO SEIKI	2-4419-TP КАТОК ОПОРНЫЙ ДВУБОРТНЫЙ 124-8240	2-4419-TP КАТОК ОПОРНЫЙ ДВУБОРТНЫЙ 124-8240	37	6;6000,00	RUR	НДС 20%	Екатеринбург	124-8240; 125-4170; CR6151; B01040L1M00	
00-00002313	ООО "Компания ИмПарт"	201-9116	JEMCO	201-9116-JC ЦЕПЬ  ГУСЕНИЧНАЯ 45 ЗВ	201-9116-JC ЦЕПЬ  ГУСЕНИЧНАЯ 45 ЗВ	695	4;70314,00	RUR	НДС 20%	Екатеринбург	CR5489/45; 115-1848; 213-1933; 6Y0854; 6Y-0854; EY627600M00045; 24100J12450F1; 201-9116	
00-00022531	ООО "Компания ИмПарт"	203-70-33210	ITR	203-70-33210 Пыльник	Пыльник	0,09	20;345,00	RUR	НДС 20%	Екатеринбург		KOMATSU
