Код товара;Компания;Артикул производителя;Производитель;Наименование;Текстовое описание;Вес;Длина;Ширина;Высота;Количество на складе;Цена на складе;Список аналогов;Список брендов
ЦУ-00000035;Test vendor;707-88-60310;Севкабель;Кабель NYM (Севкабель) 5х1,5;;0,151;1;10;10;1220;472,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
145;Test vendor;707-88-60310;База продуктов;Сахарный песок (весовой);;1;;10;10;95;33;707-88-60311, 707-88-60312;LADA, MITSUBISHI
143;Test vendor;707-88-60310;База продуктов;Сахарный песок (в упаковках);;;;10;10;96;41,8;707-88-60311, 707-88-60312;LADA, MITSUBISHI
144;Test vendor;707-88-60310;Продуктовая база;Детский праздничный набор;;;;10;10;100;353,85;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000008;Test vendor;707-88-60310;Завод бытовой техники;Вентилятор настольный, Модель 901;;1,5;;10;10;27;3780;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000009;Test vendor;707-88-60310;Завод бытовой техники;Вентилятор оконный, модель 900;;1,2;;10;10;20;3931,2;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000023;Test vendor;707-88-60310;Мебельный комбинат;Мойка С-789;;;;10;10;24;2362,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000024;Test vendor;707-88-60310;Мебельный комбинат;Шкаф кухонный;;;;10;10;6;8032,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000027;Test vendor;707-88-60310;Мебельный комбинат;Туалетный столик;;;;10;10;6;2047,5;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000051;Test vendor;707-88-60310;Завод бытовой техники;SH-10 BOSCH Завод бытовой техники;;9;;10;10;9;6700;707-88-60311, 707-88-60312;LADA, MITSUBISHI
ЦУ-00000099;Test vendor;707-88-60310;Завод новый;SH-11 BOSCH Завод новый;;9;;10;10;5;6700;707-88-60311, 707-88-60312;LADA, MITSUBISHI
